iter	Passed	Remaining
0	145	145206
1	148	74297
2	153	50851
3	157	39292
4	161	32100
5	164	27220
6	167	23809
7	171	21260
8	174	19269
9	178	17657
10	181	16324
11	184	15197
12	187	14266
13	191	13477
14	194	12769
15	197	12152
16	200	11616
17	203	11116
18	207	10695
19	210	10290
20	213	9935
21	216	9644
22	220	9355
23	223	9094
24	226	8845
25	229	8608
26	232	8361
27	234	8139
28	238	7973
29	239	7758
30	241	7551
31	243	7358
32	245	7193
33	247	7025
34	249	6877
35	250	6720
36	252	6571
37	253	6429
38	255	6292
39	256	6162
40	258	6053
41	260	5941
42	262	5849
43	264	5747
44	265	5644
45	267	5544
46	268	5450
47	270	5359
48	271	5272
49	273	5195
50	275	5123
51	276	5049
52	278	4974
53	279	4903
54	281	4837
55	283	4772
56	284	4709
57	286	4645
58	287	4589
59	289	4537
60	291	4481
61	292	4430
62	294	4378
63	296	4329
64	297	4279
65	299	4231
66	300	4182
67	302	4143
68	304	4109
69	306	4067
70	307	4024
71	309	3984
72	310	3944
73	312	3906
74	313	3868
75	315	3832
76	318	3822
77	320	3789
78	322	3754
79	323	3721
80	325	3690
81	326	3660
82	327	3621
83	329	3592
84	331	3568
85	333	3542
86	335	3516
87	336	3488
88	338	3463
89	339	3436
90	341	3409
91	342	3383
92	344	3359
93	346	3341
94	348	3318
95	349	3294
96	351	3272
97	353	3250
98	354	3226
99	356	3205
100	357	3182
101	358	3160
102	360	3143
103	362	3126
104	364	3104
105	365	3086
106	367	3066
107	368	3046
108	370	3028
109	372	3014
110	374	3000
111	376	2986
112	378	2967
113	379	2951
114	381	2934
115	382	2917
116	383	2897
117	385	2881
118	387	2865
119	388	2851
120	390	2838
121	392	2821
122	393	2806
123	395	2791
124	396	2775
125	398	2761
126	399	2744
127	400	2731
128	402	2717
129	404	2704
130	405	2692
131	407	2679
132	408	2665
133	410	2653
134	412	2640
135	413	2627
136	415	2614
137	416	2601
138	419	2598
139	420	2586
140	423	2578
141	424	2564
142	425	2552
143	427	2541
144	428	2529
145	430	2518
146	432	2507
147	433	2497
148	435	2488
149	437	2481
150	439	2471
151	441	2461
152	442	2450
153	444	2440
154	445	2429
155	447	2419
156	448	2410
157	450	2401
158	452	2393
159	454	2384
160	455	2372
161	456	2363
162	458	2354
163	459	2344
164	461	2335
165	463	2327
166	464	2318
167	466	2311
168	468	2303
169	470	2296
170	472	2288
171	473	2279
172	474	2270
173	476	2263
174	478	2255
175	480	2247
176	481	2239
177	483	2233
178	485	2226
179	487	2220
180	488	2212
181	490	2205
182	492	2198
183	494	2191
184	495	2185
185	498	2182
186	500	2177
187	502	2171
188	504	2163
189	507	2164
190	509	2158
191	511	2151
192	512	2144
193	514	2137
194	516	2131
195	517	2124
196	519	2117
197	523	2119
198	524	2112
199	526	2106
200	528	2099
201	529	2092
202	531	2086
203	532	2079
204	534	2072
205	535	2065
206	538	2061
207	539	2055
208	541	2049
209	542	2042
210	544	2035
211	545	2028
212	547	2021
213	548	2015
214	550	2008
215	552	2003
216	553	1998
217	555	1992
218	556	1985
219	558	1978
220	559	1972
221	560	1965
222	562	1959
223	563	1952
224	565	1947
225	567	1942
226	575	1960
227	582	1973
228	587	1979
229	593	1987
230	598	1992
231	603	1999
232	609	2005
233	614	2011
234	619	2016
235	627	2029
236	632	2036
237	635	2035
238	639	2034
239	642	2033
240	644	2028
241	646	2025
242	648	2021
243	650	2015
244	652	2009
245	654	2004
246	655	1998
247	657	1994
248	659	1988
249	660	1982
250	662	1976
251	663	1970
252	665	1963
253	666	1957
254	668	1952
