iter	Passed	Remaining
0	4	441
1	8	426
2	13	422
3	16	402
4	21	406
5	25	404
6	30	405
7	35	402
8	39	401
9	44	397
10	48	394
11	52	386
12	55	374
13	58	361
14	61	348
15	63	334
16	65	320
17	68	310
18	69	297
19	71	286
20	73	276
21	75	266
22	76	256
23	78	247
24	79	238
25	80	230
26	82	222
27	84	216
28	85	210
29	87	203
30	88	197
31	90	191
32	91	186
33	93	180
34	94	175
35	96	170
36	97	166
37	99	161
38	100	156
39	101	152
40	103	148
41	103	143
42	105	139
43	106	135
44	108	132
45	109	128
46	111	125
47	113	123
48	115	120
49	116	116
50	118	113
51	119	110
52	121	107
53	122	104
54	124	101
55	126	99
56	129	97
57	130	94
58	131	91
59	133	88
60	134	86
61	136	83
62	137	80
63	139	78
64	140	75
65	142	73
66	143	70
67	145	68
68	146	65
69	148	63
70	149	61
71	151	58
72	152	56
73	154	54
74	155	51
75	157	49
76	158	47
77	160	45
78	161	42
79	163	40
80	164	38
81	166	36
82	167	34
83	168	32
84	170	30
85	171	27
86	173	25
87	174	23
88	175	21
89	177	19
90	179	17
91	180	15
92	181	13
93	183	11
94	184	9
95	186	7
96	187	5
97	189	3
98	190	1
99	191	0
